0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Timestamp
-8759.57421875,2045,128,2068,7,212,0,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00
-8759.51171875,2044,128,2068,7,212,0,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.019578
-8759.44921875,2045,128,2068,7,212,0,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.039156
-8759.38671875,2045,128,2068,7,212,0,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.058734
-8759.32421875,2045,128,2068,7,212,0,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.078312
-8759.26171875,2045,128,2068,7,212,0,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.097890
-8759.19921875,2044,128,2068,7,212,0,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.117468
-8759.13671875,2045,128,2068,7,212,0,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.137046
-8759.07421875,2045,128,2068,7,212,0,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.156624
-8759.01171875,2046,128,2068,7,212,0,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.176202
-8758.57421875,2045,128,2068,7,212,1,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.195780
-8758.51171875,2046,128,2068,7,212,1,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.215358
-8758.44921875,2046,128,2068,7,212,1,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.234936
-8758.38671875,2045,128,2068,7,212,1,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.254514
-8758.32421875,2045,128,2067,7,212,1,0,0,0,170,0,0,0,2,0,0,19,8,00:00:00.274092
-8758.26171875,2045,128,2068,7,212,1,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.293670
-8758.19921875,2045,128,2068,7,212,1,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.313248
-8758.13671875,2045,128,2068,7,212,1,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.332826
-8758.07421875,2046,128,2069,7,212,1,0,0,0,170,0,0,0,2,0,0,21,8,00:00:00.352404
-8758.01171875,2045,128,2067,7,212,1,0,0,0,170,0,0,0,2,0,0,19,8,00:00:00.371982
-8757.57421875,2045,128,2068,7,212,2,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.391560
-8757.51171875,2046,128,2067,7,212,2,0,0,0,170,0,0,0,2,0,0,19,8,00:00:00.411138
-8757.44921875,2045,128,2069,7,212,2,0,0,0,170,0,0,0,2,0,0,21,8,00:00:00.430716
-8757.38671875,2045,128,2067,7,212,2,0,0,0,170,0,0,0,2,0,0,19,8,00:00:00.450294
-8757.32421875,2045,128,2068,7,212,2,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.469872
-8757.26171875,2045,128,2068,7,212,2,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.489450
-8757.19921875,2045,128,2068,7,212,2,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.509028
-8757.13671875,2045,128,2068,7,212,2,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.528606
-8757.07421875,2045,128,2067,7,212,2,0,0,0,170,0,0,0,2,0,0,19,8,00:00:00.548184
-8757.01171875,2045,128,2067,7,212,2,0,0,0,170,0,0,0,2,0,0,19,8,00:00:00.567762
-8756.57421875,2045,128,2068,7,212,3,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.587340
-8756.51171875,2046,128,2069,7,212,3,0,0,0,170,0,0,0,2,0,0,21,8,00:00:00.606918
-8756.44921875,2045,128,2068,7,212,3,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.626496
-8756.38671875,2045,128,2068,7,212,3,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.646074
-8756.32421875,2045,128,2067,7,212,3,0,0,0,170,0,0,0,2,0,0,19,8,00:00:00.665652
-8756.26171875,2045,128,2069,7,212,3,0,0,0,170,0,0,0,2,0,0,21,8,00:00:00.685230
-8756.19921875,2044,128,2068,7,212,3,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.704808
-8756.13671875,2046,128,2069,7,212,3,0,0,0,170,0,0,0,2,0,0,21,8,00:00:00.724386
-8756.07421875,2045,128,2069,7,212,3,0,0,0,170,0,0,0,2,0,0,21,8,00:00:00.743964
-8756.01171875,2046,128,2068,7,212,3,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.763542
-8755.57421875,2045,128,2068,7,212,4,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.783120
-8755.51171875,2046,128,2068,7,212,4,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.802698
-8755.44921875,2046,128,2069,7,212,4,0,0,0,170,0,0,0,2,0,0,21,8,00:00:00.822276
-8755.38671875,2046,128,2068,7,212,4,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.841854
-8755.32421875,2046,128,2068,7,212,4,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.861432
-8755.26171875,2046,128,2068,7,212,4,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.881010
-8755.19921875,2045,128,2068,7,212,4,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.900588
-8755.13671875,2046,128,2068,7,212,4,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.920166
-8755.07421875,2046,128,2068,7,212,4,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.939744
-8755.01171875,2046,128,2068,7,212,4,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.959322
-8754.57421875,2046,128,2068,7,212,5,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.978900
-8754.51171875,2045,128,2068,7,212,5,0,0,0,170,0,0,0,2,0,0,20,8,00:00:00.998478
-8754.44921875,2045,128,2069,7,212,5,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.018056
-8754.38671875,2045,128,2069,7,212,5,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.037634
-8754.32421875,2046,128,2067,7,212,5,0,0,0,170,0,0,0,2,0,0,19,8,00:00:01.057212
-8754.26171875,2046,128,2068,7,212,5,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.076790
-8754.19921875,2046,128,2068,7,212,5,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.096368
-8754.13671875,2045,128,2068,7,212,5,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.115946
-8754.07421875,2046,128,2068,7,212,5,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.135524
-8754.01171875,2045,128,2068,7,212,5,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.155102
-8753.57421875,2047,128,2068,7,212,6,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.174680
-8753.51171875,2046,128,2069,7,212,6,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.194258
-8753.44921875,2046,128,2069,7,212,6,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.213836
-8753.38671875,2046,128,2068,7,212,6,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.233414
-8753.32421875,2046,128,2068,7,212,6,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.252992
-8753.26171875,2046,128,2068,7,212,6,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.272570
-8753.19921875,2046,128,2068,7,212,6,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.292148
-8753.13671875,2046,128,2068,7,212,6,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.311726
-8753.07421875,2046,128,2069,7,212,6,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.331304
-8753.01171875,2047,128,2069,7,212,6,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.350882
-8752.57421875,2047,128,2068,7,212,7,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.370460
-8752.51171875,2046,128,2068,7,212,7,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.390038
-8752.44921875,2046,128,2069,7,212,7,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.409616
-8752.38671875,2046,128,2068,7,212,7,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.429194
-8752.32421875,2047,128,2068,7,212,7,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.448772
-8752.26171875,2045,128,2069,7,212,7,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.468350
-8752.19921875,2047,128,2068,7,212,7,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.487928
-8752.13671875,2047,128,2069,7,212,7,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.507506
-8752.07421875,2046,128,2069,7,212,7,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.527084
-8752.01171875,2047,128,2068,7,212,7,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.546662
-8745.57421875,2046,128,2067,7,212,8,0,0,0,170,0,0,0,2,0,0,19,8,00:00:01.566240
-8745.51171875,2047,128,2069,7,212,8,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.585818
-8745.44921875,2046,128,2068,7,212,8,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.605396
-8745.38671875,2046,128,2068,7,212,8,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.624974
-8745.32421875,2046,128,2068,7,212,8,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.644552
-8745.26171875,2046,128,2068,7,212,8,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.664130
-8745.19921875,2047,128,2067,7,212,8,0,0,0,170,0,0,0,2,0,0,19,8,00:00:01.683708
-8745.13671875,2047,128,2068,7,212,8,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.703286
-8745.07421875,2047,128,2068,7,212,8,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.722864
-8745.01171875,2047,128,2068,7,212,8,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.742442
-8744.57421875,2046,128,2069,7,212,9,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.762020
-8744.51171875,2047,128,2067,7,212,9,0,0,0,170,0,0,0,2,0,0,19,8,00:00:01.781598
-8744.44921875,2046,128,2068,7,212,9,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.801176
-8744.38671875,2046,128,2067,7,212,9,0,0,0,170,0,0,0,2,0,0,19,8,00:00:01.820754
-8744.32421875,2046,128,2068,7,212,9,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.840332
-8744.26171875,2046,128,2068,7,212,9,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.859910
-8744.19921875,2046,128,2069,7,212,9,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.879488
-8744.13671875,2047,128,2068,7,212,9,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.899066
-8744.07421875,2047,128,2069,7,212,9,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.918644
-8744.01171875,2047,128,2068,7,212,9,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.938222
-8743.57421875,2047,128,2068,7,212,10,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.957800
-8743.51171875,2046,128,2068,7,212,10,0,0,0,170,0,0,0,2,0,0,20,8,00:00:01.977378
-8743.44921875,2046,128,2069,7,212,10,0,0,0,170,0,0,0,2,0,0,21,8,00:00:01.996956
-8743.38671875,2046,128,2068,7,212,10,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.016534
-8743.32421875,2046,128,2068,7,212,10,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.036112
-8743.26171875,2047,128,2069,7,212,10,0,0,0,170,0,0,0,2,0,0,21,8,00:00:02.055690
-8743.19921875,2047,128,2068,7,212,10,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.075268
-8743.13671875,2046,128,2069,7,212,10,0,0,0,170,0,0,0,2,0,0,21,8,00:00:02.094846
-8743.07421875,2046,128,2068,7,212,10,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.114424
-8743.01171875,2046,128,2069,7,212,10,0,0,0,170,0,0,0,2,0,0,21,8,00:00:02.134002
-8742.57421875,2047,128,2068,7,212,11,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.153580
-8742.51171875,2047,128,2068,7,212,11,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.173158
-8742.44921875,2046,128,2068,7,212,11,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.192736
-8742.38671875,2047,128,2068,7,212,11,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.212314
-8742.32421875,2048,128,2068,8,212,11,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.231892
-8742.26171875,2046,128,2067,7,212,11,0,0,0,170,0,0,0,2,0,0,19,8,00:00:02.251470
-8742.19921875,2047,128,2068,7,212,11,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.271048
-8742.13671875,2047,128,2068,7,212,11,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.290626
-8742.07421875,2047,128,2068,7,212,11,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.310204
-8742.01171875,2047,128,2068,7,212,11,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.329782
-8741.57421875,2047,128,2068,7,212,12,0,0,0,170,0,0,0,2,0,0,20,8,00:00:02.349360
