0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Timestamp
-5.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00
-5.0,0,0,65478,0,0,43690,19,1,8,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,512,0,0,43690,43690,43690,00:00:00.102253
-4.5625,0,0,65478,0,65535,43690,57,1,8,8,0,0,1,2,0,0,0,0,0,0,0,8456,0,0,512,0,0,43690,43690,43690,00:00:00.204506
-4.5,0,0,65478,0,65535,43690,90,1,8,8,0,0,1,2,0,0,0,0,0,0,0,8456,0,0,512,0,0,43690,43690,43690,00:00:00.306759
-4.4375,0,0,65478,0,65535,55636,128,1,8,8,0,0,0,2,0,0,0,0,0,0,0,8456,0,0,512,0,0,320,55636,0,00:00:00.409012
-4.375,0,0,65478,0,65535,55636,162,1,8,8,0,0,0,2,0,0,0,0,0,0,0,8456,0,0,512,0,0,320,55636,0,00:00:00.511265
-4.3125,0,0,65478,0,65535,55636,193,1,8,8,0,0,1,2,0,0,0,0,0,0,0,8456,0,0,514,0,0,320,55636,0,00:00:00.613518
-4.25,0,0,65478,0,65535,55636,216,1,8,8,0,0,0,2,0,0,0,0,0,0,0,8456,0,0,514,0,0,320,55636,0,00:00:00.715771
-4.1875,0,0,65478,0,65535,55636,242,1,8,8,0,0,1,2,0,0,0,0,0,0,0,8456,0,0,514,0,0,320,55636,0,00:00:00.818024
-4.125,0,0,65478,0,65535,55636,266,1,8,8,0,0,0,2,0,0,0,0,0,0,0,8456,0,0,514,0,0,320,55636,0,00:00:00.920277
-4.0625,0,0,65478,0,65535,55636,283,1,8,8,0,0,0,2,0,0,0,0,0,0,0,8456,1,47,514,0,0,320,55636,0,00:00:01.022530
-4.0,0,0,65478,0,65535,55636,303,1,8,8,0,0,1,2,0,0,0,0,0,1,47,8456,1,47,514,0,0,320,55636,0,00:00:01.124783
-3.5625,0,0,65478,0,65535,55636,321,2,8,8,0,0,1,2,0,0,0,0,0,1,47,8456,1,47,514,0,0,320,55636,0,00:00:01.227036
-3.5,0,0,65478,0,0,55636,334,3,8,8,0,0,1,2,0,0,0,0,0,1,47,8456,1,47,514,0,0,320,55636,0,00:00:01.329289
-3.4375,0,0,65478,0,0,55636,349,4,8,8,0,0,1,2,0,0,0,0,0,1,47,8456,1,47,514,0,0,320,55636,0,00:00:01.431542
-3.375,0,0,65478,0,0,55636,363,5,8,8,0,0,1,2,0,0,0,0,0,1,47,8456,1,47,514,0,0,320,55636,0,00:00:01.533795
-3.3125,0,0,65478,0,0,55636,372,6,8,8,0,0,2,3,0,0,0,0,0,1,47,8456,1,47,514,0,0,320,55636,0,00:00:01.636048
-3.25,0,0,65478,0,0,55636,384,7,7,8,0,0,3,4,0,0,0,0,0,1,47,8456,1,47,514,0,0,320,55636,0,00:00:01.738301
-3.1875,0,0,65478,0,0,55636,394,7,3,8,0,0,7,10,0,0,0,0,0,1,47,8456,1,47,514,0,0,320,55636,0,00:00:01.840554
-3.125,0,0,65478,0,0,55636,400,7,5,8,0,0,21,23,0,0,0,0,0,1,47,8456,1,47,514,0,0,320,55636,0,00:00:01.942807
